"","station_name","date","daily_entries","daily_exits","daily_total","percent_entries"
"28114","121 ST","03/16/2020",1490,993,2483,60.00805
"28115","125 ST","03/16/2020",38170,36252,74422,51.2886
"28116","135 ST","03/16/2020",9627,5263,14890,64.65413
"28117","137 ST CITY COL","03/16/2020",5787,6128,11915,48.56903
"28118","138/GRAND CONC","03/16/2020",1257,630,1887,66.61367
"28119","14 ST","03/16/2020",16093,15957,32050,50.21217
"28120","14 ST-UNION SQ","03/16/2020",31236,31950,63186,49.435
"28121","145 ST","03/16/2020",16403,15863,32266,50.83679
"28122","149/GRAND CONC","03/16/2020",6395,5155,11550,55.36797
"28123","14TH STREET","03/16/2020",2419,3293,5712,42.34944
"28124","15 ST-PROSPECT","03/16/2020",1712,1107,2819,60.73076
"28125","155 ST","03/16/2020",3525,2535,6060,58.16832
"28126","157 ST","03/16/2020",5303,4478,9781,54.21736
"28127","161/YANKEE STAD","03/16/2020",12091,6321,18412,65.66913
"28128","163 ST-AMSTERDM","03/16/2020",2302,2266,4568,50.39405
"28129","167 ST","03/16/2020",9854,8158,18012,54.70797
"28130","168 ST","03/16/2020",11005,8478,19483,56.48514
"28131","169 ST","03/16/2020",4249,4579,8828,48.13095
"28132","170 ST","03/16/2020",9555,7080,16635,57.43913
"28133","174 ST","03/16/2020",3201,3387,6588,48.58834
"28134","174-175 STS","03/16/2020",3414,1965,5379,63.46905
"28135","175 ST","03/16/2020",5871,3588,9459,62.06787
"28136","176 ST","03/16/2020",3641,2560,6201,58.71634
"28137","18 AV","03/16/2020",7701,4476,12177,63.24218
"28138","18 ST","03/16/2020",2024,1494,3518,57.53269
"28139","181 ST","03/16/2020",11843,12776,24619,48.10512
"28140","182-183 STS","03/16/2020",2016,1048,3064,65.79634
"28141","183 ST","03/16/2020",3883,2225,6108,63.57236
"28142","190 ST","03/16/2020",948,192,1140,83.15789
"28143","191 ST","03/16/2020",783,1006,1789,43.76747
"28144","2 AV","03/16/2020",5042,5621,10663,47.285
"28145","20 AV","03/16/2020",4493,2309,6802,66.0541
"28146","207 ST","03/16/2020",3597,2705,6302,57.07712
"28147","21 ST","03/16/2020",784,890,1674,46.83393
"28148","21 ST-QNSBRIDGE","03/16/2020",5596,4547,10143,55.17105
"28149","215 ST","03/16/2020",853,378,1231,69.29326
"28150","219 ST","03/16/2020",2013,1061,3074,65.48471
"28151","225 ST","03/16/2020",1784,1158,2942,60.63902
"28152","23 ST","03/16/2020",30456,26828,57284,53.16668
"28153","231 ST","03/16/2020",4713,668,5381,87.58595
"28154","233 ST","03/16/2020",3071,1252,4323,71.03863
"28155","238 ST","03/16/2020",1944,232,2176,89.33824
"28156","25 AV","03/16/2020",2483,580,3063,81.06432
"28157","25 ST","03/16/2020",1795,1779,3574,50.22384
"28158","28 ST","03/16/2020",14411,13436,27847,51.75064
"28159","3 AV","03/16/2020",2317,2248,4565,50.75575
"28160","3 AV 138 ST","03/16/2020",4213,2321,6534,64.47811
"28161","3 AV-149 ST","03/16/2020",13657,5340,18997,71.8903
"28162","30 AV","03/16/2020",5968,4055,10023,59.54305
